Type;ESR-7;
Version;3.48;
Date;28.Oct 24;
Mode;ANALYZER;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;1000000000.000000;Hz
Stop;1000000000.000000;Hz
Ref Level;-10.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
1.7100000000000013;-44.805618286132813;-44.805618286132813
1.7575000000000014;-44.807804107666016;-44.807804107666016
1.8050000000000015;-44.78778076171875;-44.78778076171875
1.8525000000000016;-44.780693054199219;-44.780693054199219
1.9000000000000017;-44.7801513671875;-44.7801513671875
1.9475000000000018;-44.773303985595703;-44.773303985595703
1.9950000000000019;-44.772750854492188;-44.772750854492188
2.0425000000000018;-44.760524749755859;-44.760524749755859
2.0900000000000016;-44.756259918212891;-44.756259918212891
2.1375000000000015;-44.743316650390625;-44.743316650390625
2.1850000000000014;-44.739990234375;-44.739990234375
2.2325000000000013;-44.734634399414063;-44.734634399414063
2.2800000000000011;-44.728546142578125;-44.728546142578125
2.327500000000001;-44.716926574707031;-44.716926574707031
2.3750000000000009;-44.711589813232422;-44.711589813232422
2.4225000000000008;-44.707538604736328;-44.707538604736328
2.4700000000000006;-44.711219787597656;-44.711219787597656
2.5175000000000005;-44.70367431640625;-44.70367431640625
2.5650000000000004;-44.689334869384766;-44.689334869384766
2.6125000000000003;-44.696868896484375;-44.696868896484375
2.6600000000000001;-44.691173553466797;-44.691173553466797
2.7075;-44.690071105957031;-44.690071105957031
2.7549999999999999;-44.679241180419922;-44.679241180419922
2.8024999999999998;-44.689521789550781;-44.689521789550781
2.8499999999999996;-44.672088623046875;-44.672088623046875
2.8974999999999995;-44.678504943847656;-44.678504943847656
2.9449999999999994;-44.675388336181641;-44.675388336181641
2.9924999999999993;-44.675022125244141;-44.675022125244141
3.0399999999999991;-44.680156707763672;-44.680156707763672
3.087499999999999;-44.661277770996094;-44.661277770996094
3.1349999999999989;-44.667873382568359;-44.667873382568359
3.1824999999999988;-44.667690277099609;-44.667690277099609
3.2299999999999986;-44.653411865234375;-44.653411865234375
3.2774999999999985;-44.662197113037109;-44.662197113037109
3.3249999999999984;-44.657253265380859;-44.657253265380859
3.3724999999999983;-44.639522552490234;-44.639522552490234
3.4199999999999982;-44.650669097900391;-44.650669097900391
3.467499999999998;-44.639339447021484;-44.639339447021484
3.5149999999999979;-44.648658752441406;-44.648658752441406
3.5624999999999978;-44.657440185546875;-44.657440185546875
3.6099999999999977;-44.643909454345703;-44.643909454345703
3.6574999999999975;-44.647560119628906;-44.647560119628906
3.7049999999999974;-44.632221221923828;-44.632221221923828
3.7524999999999973;-44.647377014160156;-44.647377014160156
3.7999999999999972;-44.645370483398437;-44.645370483398437
3.847499999999997;-44.645000457763672;-44.645000457763672
3.8949999999999969;-44.642265319824219;-44.642265319824219
3.9424999999999968;-44.649757385253906;-44.649757385253906
3.9899999999999967;-44.6376953125;-44.6376953125
4.037499999999997;-44.646282196044922;-44.646282196044922
4.0849999999999973;-44.647560119628906;-44.647560119628906
4.1324999999999976;-44.640068054199219;-44.640068054199219
4.1799999999999979;-44.645000457763672;-44.645000457763672
4.2274999999999983;-44.651035308837891;-44.651035308837891
4.2749999999999986;-44.645732879638672;-44.645732879638672
4.3224999999999989;-44.644454956054687;-44.644454956054687
4.3699999999999992;-44.636238098144531;-44.636238098144531
4.4174999999999995;-44.639339447021484;-44.639339447021484
4.4649999999999999;-44.650119781494141;-44.650119781494141
4.5125000000000002;-44.654876708984375;-44.654876708984375
4.5600000000000005;-44.651584625244141;-44.651584625244141
4.6075000000000008;-44.653411865234375;-44.653411865234375
4.6550000000000011;-44.655426025390625;-44.655426025390625
4.7025000000000015;-44.657623291015625;-44.657623291015625
4.7500000000000018;-44.670623779296875;-44.670623779296875
4.7975000000000021;-44.674655914306641;-44.674655914306641
4.8450000000000024;-44.685848236083984;-44.685848236083984
4.8925000000000027;-44.681625366210938;-44.681625366210938
4.9400000000000031;-44.696498870849609;-44.696498870849609
4.9875000000000034;-44.707538604736328;-44.707538604736328
5.0350000000000037;-44.703304290771484;-44.703304290771484
5.082500000000004;-44.711219787597656;-44.711219787597656
5.1300000000000043;-44.715824127197266;-44.715824127197266
5.1775000000000047;-44.725776672363281;-44.725776672363281
5.225000000000005;-44.736297607421875;-44.736297607421875
5.2725000000000053;-44.736297607421875;-44.736297607421875
5.3200000000000056;-44.742210388183594;-44.742210388183594
5.3675000000000059;-44.743499755859375;-44.743499755859375
5.4150000000000063;-44.754039764404297;-44.754039764404297
5.4625000000000066;-44.7586669921875;-44.7586669921875
5.5100000000000069;-44.772380828857422;-44.772380828857422
5.5575000000000072;-44.773677825927734;-44.773677825927734
5.6050000000000075;-44.781059265136719;-44.781059265136719
5.6525000000000079;-44.762001037597656;-44.762001037597656
5.7000000000000082;-44.774051666259766;-44.774051666259766
5.7475000000000085;-44.769783020019531;-44.769783020019531
5.7950000000000088;-44.777576446533203;-44.777576446533203
5.8425000000000091;-44.775531768798828;-44.775531768798828
5.8900000000000095;-44.777576446533203;-44.777576446533203
5.9375000000000098;-44.789779663085938;-44.789779663085938
5.9850000000000101;-44.798881530761719;-44.798881530761719
6.0325000000000104;-44.775531768798828;-44.775531768798828
6.0800000000000107;-44.785236358642578;-44.785236358642578
6.127500000000011;-44.768302917480469;-44.768302917480469
6.1750000000000114;-44.790691375732422;-44.790691375732422
6.2225000000000117;-44.772937774658203;-44.772937774658203
6.270000000000012;-44.775905609130859;-44.775905609130859
6.3175000000000123;-44.781963348388672;-44.781963348388672
6.3650000000000126;-44.783420562744141;-44.783420562744141
6.412500000000013;-44.773490905761719;-44.773490905761719
6.4600000000000133;-44.779422760009766;-44.779422760009766
6.5075000000000136;-44.776645660400391;-44.776645660400391
6.5550000000000139;-44.776462554931641;-44.776462554931641
6.6025000000000142;-44.777942657470703;-44.777942657470703
6.6500000000000146;-44.760524749755859;-44.760524749755859
6.6975000000000149;-44.772937774658203;-44.772937774658203
6.7450000000000152;-44.766819000244141;-44.766819000244141
6.7925000000000155;-44.768302917480469;-44.768302917480469
6.8400000000000158;-44.764225006103516;-44.764225006103516
6.8875000000000162;-44.767005920410156;-44.767005920410156
6.9350000000000165;-44.761634826660156;-44.761634826660156
6.9825000000000168;-44.766819000244141;-44.766819000244141
7.0300000000000171;-44.747940063476562;-44.747940063476562
7.0775000000000174;-44.756633758544922;-44.756633758544922
7.1250000000000178;-44.748676300048828;-44.748676300048828
7.1725000000000181;-44.747940063476562;-44.747940063476562
7.2200000000000184;-44.736297607421875;-44.736297607421875
7.2675000000000187;-44.744609832763672;-44.744609832763672
7.315000000000019;-44.727622985839844;-44.727622985839844
7.3625000000000194;-44.737403869628906;-44.737403869628906
7.4100000000000197;-44.731864929199219;-44.731864929199219
7.45750000000002;-44.734821319580078;-44.734821319580078
7.5050000000000203;-44.731128692626953;-44.731128692626953
7.5525000000000206;-44.736667633056641;-44.736667633056641
7.600000000000021;-44.725223541259766;-44.725223541259766
7.6475000000000213;-44.717849731445313;-44.717849731445313
7.6950000000000216;-44.719509124755859;-44.719509124755859
7.7425000000000219;-44.723934173583984;-44.723934173583984
7.7900000000000222;-44.717113494873047;-44.717113494873047
7.8375000000000226;-44.707904815673828;-44.707904815673828
7.8850000000000229;-44.703857421875;-44.703857421875
7.9325000000000232;-44.706432342529297;-44.706432342529297
7.9800000000000235;-44.702571868896484;-44.702571868896484
8.027500000000023;-44.707168579101563;-44.707168579101563
8.0750000000000224;-44.690254211425781;-44.690254211425781
8.1225000000000218;-44.693008422851563;-44.693008422851563
